num_tasks,approach,reg_layers,avg_acc_tag,dataset,seed
5,finetuning,False,20.07,cifar100_fixed,2
5,finetuning,True,27.67,cifar100_fixed,2
5,replay,False,39.370000000000005,cifar100_fixed,2
5,replay,True,43.68,cifar100_fixed,2
5,ewc,False,23.159999999999997,cifar100_fixed,2
5,ewc,True,33.660000000000004,cifar100_fixed,2
5,lwf,False,38.919999999999995,cifar100_fixed,2
5,lwf,True,49.510000000000005,cifar100_fixed,2
10,finetuning,False,11.49,cifar100_fixed,2
10,finetuning,True,13.69,cifar100_fixed,2
10,replay,False,36.57,cifar100_fixed,2
10,replay,True,36.99,cifar100_fixed,2
10,ewc,False,12.37,cifar100_fixed,2
10,ewc,True,17.98,cifar100_fixed,2
10,lwf,False,25.749999999999996,cifar100_fixed,2
10,lwf,True,37.44,cifar100_fixed,2
20,finetuning,False,5.650000000000001,cifar100_fixed,2
20,finetuning,True,7.869999999999999,cifar100_fixed,2
20,replay,False,31.72,cifar100_fixed,2
20,replay,True,32.74999999999999,cifar100_fixed,2
20,ewc,False,6.8500000000000005,cifar100_fixed,2
20,ewc,True,12.689999999999998,cifar100_fixed,2
20,lwf,False,16.160000000000004,cifar100_fixed,2
20,lwf,True,19.980000000000004,cifar100_fixed,2
